Package,Author,License,Status,Reason,URL
srsly,Explosion,MIT,OK,permissive,https://github.com/explosion/srsly
starlette,Tom Christie <tom@tomchristie.com>,BSD-3-Clause,OK,permissive,https://github.com/Kludex/starlette
sympy,SymPy development team,BSD-3-Clause,OK,permissive,https://sympy.org
thinc,Explosion,MIT,OK,permissive,https://github.com/explosion/thinc
threadpoolctl,Thomas Moreau <thomas.moreau.2010@gmail.com>,BSD-3-Clause,OK,permissive,https://github.com/joblib/threadpoolctl
tldextract,John Kurkowski <john.kurkowski@gmail.com>,BSD-3-Clause,OK,permissive,https://github.com/john-kurkowski/tldextract
tokenizers,"Nicolas Patry <patry.nicolas@protonmail.com>, Anthony Moi <anthony@huggingface.co>",Apache-2.0,OK,permissive,https://github.com/huggingface/tokenizers
tomli,,MIT,OK,permissive,
torch,PyTorch Team <packages@pytorch.org>,BSD-3-Clause,OK,permissive,https://pytorch.org
torch-audiomentations,Iver Jordal,MIT,OK,permissive,https://github.com/asteroid-team/torch-audiomentations
torch_pitch_shift,KentoNishi,MIT,OK,permissive,https://github.com/KentoNishi/torch-pitch-shift
torchaudio,"Soumith Chintala, David Pollack, Sean Naren, Peter Goldsborough, Moto Hira, Caroline Chen, Jeff Hwang, Zhaoheng Ni, Xiaohui Zhang",BSD-3-Clause,OK,permissive,https://github.com/pytorch/audio
torchmetrics,Lightning-AI et al.,Apache-2.0,OK,permissive,https://github.com/Lightning-AI/torchmetrics
tornado,Facebook,Apache-2.0,OK,permissive,http://www.tornadoweb.org/
tqdm,UNKNOWN,MPL-2.0 AND MIT,REVIEW,"AND expression, worst component governs: MPL-2.0 AND MIT",https://tqdm.github.io
transformers,The Hugging Face team (past and future) with the help of all our contributors (https://github.com/huggingface/transformers/graphs/contributors),Apache-2.0,OK,permissive,https://github.com/huggingface/transformers
truststore,"Seth Michael Larson <sethmichaellarson@gmail.com>, David Glick <david@glicksoftware.com>",MIT,OK,permissive,https://github.com/sethmlarson/truststore
typer,=?utf-8?q?Sebasti=C3=A1n_Ram=C3=ADrez?= <tiangolo@gmail.com>,MIT,OK,permissive,https://github.com/fastapi/typer
typing-inspection,Victorien Plot <contact@vctrn.dev>,MIT,OK,permissive,https://github.com/pydantic/typing-inspection
typing_extensions,"""Guido van Rossum, Jukka Lehtosalo, Łukasz Langa, Michael Lee"" <levkivskyi@gmail.com>",PSF-2.0,OK,permissive,https://github.com/python/typing_extensions
tzdata,Python Software Foundation,Apache-2.0,OK,permissive,https://github.com/python/tzdata
tzlocal,Lennart Regebro <regebro@gmail.com>,MIT,OK,permissive,https://github.com/regebro/tzlocal/blob/master/CHANGES.txt
urllib3,Andrey Petrov <andrey.petrov@shazow.net>,MIT,OK,permissive,https://github.com/urllib3/urllib3/blob/main/CHANGES.rst
uvicorn,Tom Christie <tom@tomchristie.com>,BSD-3-Clause,OK,permissive,https://uvicorn.dev/
uvloop,Yury Selivanov <yury@magic.io>,Apache-2.0 OR MIT,OK,satisfied by an OR'd permissive option: Apache-2.0 OR MIT,UNKNOWN
varint,Peter Ruibal,MIT,OK,permissive,http://github.com/fmoo/python-varint
vine,Ask Solem,BSD-3-Clause,OK,permissive,https://github.com/celery/vine
wasabi,Explosion,MIT,OK,permissive,https://github.com/explosion/wasabi
watchdog,Mickaël Schoentgen,Apache-2.0,OK,permissive,https://github.com/gorakhargosh/watchdog
watchfiles,Samuel Colvin <s@muelcolvin.com>,MIT,OK,permissive,https://github.com/samuelcolvin/watchfiles
wcwidth,,MIT,OK,permissive,
weasel,Explosion,MIT,OK,permissive,https://github.com/explosion/weasel/
websockets,Aymeric Augustin <aymeric.augustin@m4x.org>,BSD-3-Clause,OK,permissive,https://github.com/python-websockets/websockets
wheel,,MIT,OK,permissive,
whisperx,Max Bain,BSD-2-Clause,OK,permissive,https://github.com/m-bain/whisperx
wrapt,Graham Dumpleton <Graham.Dumpleton@gmail.com>,BSD-2-Clause,OK,permissive,https://github.com/GrahamDumpleton/wrapt
xmlsec,Bulat Gaifullin,MIT,OK,permissive,https://github.com/mehcode/python-xmlsec
yarl,Andrew Svetlov,Apache-2.0,OK,permissive,https://github.com/aio-libs/yarl
yt-dlp,pukkandan <pukkandan.ytdlp@gmail.com>,Unlicense,OK,permissive,https://github.com/yt-dlp/yt-dlp
yt-dlp-ejs,Simon Sawicki <contact@grub4k.dev>,Unlicense AND MIT AND ISC,OK,"AND expression, worst component governs: Unlicense AND MIT AND ISC",https://github.com/yt-dlp/ejs
zipp,,MIT,OK,permissive,
